enzyme_id,compound_id
EC1.14.13.179,C16353
EC1.14.13.179,C16357
EC1.14.13.179,C00385
EC1.14.13.180,C12424
EC1.14.13.180,C12425
EC1.14.13.182,C20643
EC1.14.13.182,C11848
EC1.14.13.2,C00156
EC1.14.13.2,C00230
EC1.14.13.20,C02124
EC1.14.13.20,C02375
EC1.14.13.20,C02625
EC1.14.13.20,C02933
EC1.14.13.208,C00512
EC1.14.13.208,C19684
EC1.14.13.219,C01751
EC1.14.13.219,C02814
EC1.14.13.22,C01147
EC1.14.13.22,C12314
EC1.14.13.22,C00414
EC1.14.13.22,C01880
EC1.14.13.220,C01751
EC1.14.13.220,C02814
EC1.14.13.226,C00207
EC1.14.13.226,C17530
EC1.14.13.227,C20783
EC1.14.13.227,C01845
EC1.14.13.23,C00587
EC1.14.13.23,C00230
EC1.14.13.231,C06624
EC1.14.13.231,C21438
EC1.14.13.231,C06571
EC1.14.13.231,C21439
EC1.14.13.231,C06570
EC1.14.13.231,C21391
EC1.14.13.234,C03206
EC1.14.13.234,C18296
EC1.14.13.236,C01455
EC1.14.13.236,C01468
EC1.14.13.24,C00587
EC1.14.13.24,C00628
EC1.14.13.240,C05807
EC1.14.13.240,C17551
EC1.14.13.242,C01270
EC1.14.13.242,C01215
EC1.14.13.243,C01455
EC1.14.13.243,C01542
EC1.14.13.243,C02923
EC1.14.13.244,C01407
EC1.14.13.244,C00146
EC1.14.13.244,C00090
EC1.14.13.248,C22388
EC1.14.13.249,C12115
EC1.14.13.249,C22455
EC1.14.13.25,C06790
EC1.14.13.25,C11148
EC1.14.13.25,C18246
EC1.14.13.25,C07490
EC1.14.13.25,C01438
EC1.14.13.25,C00132
EC1.14.13.251,C00719
EC1.14.13.251,C01026
EC1.14.13.29,C00870
EC1.14.13.29,C02235
EC1.14.13.38,C02811
EC1.14.13.38,C03206
EC1.14.13.40,C02247
EC1.14.13.40,C05165
EC1.14.13.50,C04178
EC1.14.13.50,C16248
EC1.14.13.50,C02575
EC1.14.13.50,C18933
EC1.14.13.59,C00047
EC1.14.13.59,C01028
EC1.14.13.69,C06547
EC1.14.13.69,C06548
EC1.14.13.69,C06793
EC1.14.13.69,C20303
EC1.14.13.7,C01467
EC1.14.13.7,C02923
EC1.14.13.7,C00146
EC1.14.13.7,C00090
EC1.14.13.81,C04536
EC1.14.13.81,C11831
EC1.14.13.81,C11829
EC1.14.13.81,C11830
EC1.14.13.82,C06672
EC1.14.13.82,C00230
EC1.14.13.83,C05772
EC1.14.13.83,C06406
EC1.14.13.84,C10700
EC1.14.13.84,C13636
EC1.14.13.9,C00328
EC1.14.13.9,C03227
EC1.14.14.108,C03037
EC1.14.14.108,C02952
EC1.14.14.11,C07083
EC1.14.14.11,C20782
EC1.14.14.12,C19944
EC1.14.14.12,C04793
EC1.14.14.154,C01724
EC1.14.14.154,C11455
EC1.14.14.154,C01943
EC1.14.14.154,C11508
EC1.14.14.155,C21929
EC1.14.14.155,C21930
EC1.14.14.17,C00751
EC1.14.14.27,C01751
EC1.14.14.27,C02814
EC1.14.14.34,C11145
EC1.14.14.34,C00094
EC1.14.14.35,C11142
EC1.14.14.35,C11145
EC1.14.14.46,C20683
EC1.14.14.46,C19845
EC1.14.14.47,C00062
EC1.14.14.47,C00327
EC1.14.14.47,C05933
EC1.14.14.47,C00533
EC1.14.14.5,C15521
EC1.14.14.5,C00094
EC1.14.14.5,C11145
EC1.14.14.8,C00108
EC1.14.14.8,C00632
EC1.14.14.84,C11389
EC1.14.14.84,C04433
EC1.14.14.84,C11388
EC1.14.14.84,C20221
EC1.14.14.9,C00642
